donor_id,age_group,gender,name,email,country,donation_type,donation_amount,donation_date,payment_method,newsletter_opt_in,referral_channel,sector,campaign
9132b63e-f162-47e4-a9c3-49e03602f8ac,30-49,Female,Emily Adams,emily.adams35@yahoo.com,USA,Monthly,23.66,2025-03-19,Cheque,False,Online advertising,Arts & Culture,Wildlife Rescue Van Drive
24933b83-7577-40a9-a491-f0b2ea1fca65,50-65,Male,Matthew Foster,matthew.foster564@outlook.com,Canada,Monthly,166.13,2023-12-28,Credit Card,False,Social Media,Retail,Marine Mammal Defense Mission
956269f0-e5d7-4875-adad-d6c795a76d79,66-80,Male,Justin Baker,justin.baker990@yahoo.com,Germany,One-time,2.65,2024-04-04,Credit Card,True,Website,Hospitality,Defend the Great Apes
dc713d96-0c0f-4195-817a-f08a1745d6d8,30-49,Male,Zachary Hicks,zachary.hicks543@hotmail.com,USA,One-time,2.57,2023-09-06,Bank Transfer,False,Online advertising,Agriculture,Reforest the Sanctuary
988c24c9-61b1-4d22-a280-1c4510435a10,18-29,Female,Rebecca Henderson,rebecca.henderson576@yahoo.com,South Africa,One-time,18.16,2025-06-15,Credit Card,False,Website,Law,Marine Mammal Defense Mission
1d53434b-b881-49b9-ae27-0da702f06b90,66-80,Male,Wesley Valencia,wesley.valencia554@hotmail.com,New Zealand,One-time,9.68,2024-10-28,Bank Transfer,False,Newsletter,Hospitality,Rescue Orphaned Gorillas
287d06ca-6f4c-469a-8b22-d3081c8eaee9,50-65,Male,Derek Davidson,derek.davidson6@outlook.com,UK,One-time,57.12,2024-05-14,Cheque,True,Word of mouth,Consulting,Rescue Orphaned Gorillas
81f76d1c-2dbc-4134-830f-f46e8026695f,50-65,Female,Sherri Baker,sherri.baker273@charitymail.org,South Africa,One-time,57.69,2025-04-15,Paypal,True,Newsletter,Arts & Culture,Defend the Great Apes
5fb8d16c-2720-497d-b2eb-d6899be578c7,18-29,Male,Edwin Fowler,edwin.fowler703@charitymail.org,UK,One-time,4.26,2024-12-26,Credit Card,True,Newsletter,Hospitality,Wildlife Rescue Van Drive
7d154385-52fb-443b-9954-6eb400257ad1,30-49,Female,Paula Moreno,paula.moreno178@charitymail.org,USA,One-time,22.06,2023-07-02,Bank Transfer,False,Word of mouth,Agriculture,Reforest the Sanctuary
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,18-29,Male,Shawn Decker,shawn.decker276@charitymail.org,Netherlands,Monthly,34.24,2025-03-20,Cheque,True,Word of mouth,Healthcare,Reforest the Sanctuary
885f6e66-c2b6-42c5-ba5d-310011b7e948,30-49,Female,Angelica Tucker,angelica.tucker152@outlook.com,Netherlands,One-time,52.6,2024-12-28,Credit Card,True,Newsletter,Law,Habitat for Hope
9b49bd26-df57-459a-8715-a10343dac043,50-65,Male,John Pierce,john.pierce370@outlook.com,UK,Monthly,189.5,2024-04-22,Cheque,False,Website,Government,Marine Mammal Defense Mission
66245bfa-4fcc-439a-b683-d2e6337ea2df,66-80,Male,Joshua Blair,joshua.blair73@charitymail.org,UK,One-time,9.82,2025-06-14,Bank Transfer,True,Newsletter,Pharmaceuticals,Wildlife Rescue Van Drive
1064005c-3985-43cf-bf76-be1d1efa2197,50-65,Male,Jeffrey Holmes,jeffrey.holmes20@hotmail.com,USA,One-time,54.55,2024-02-20,Bank Transfer,True,Word of mouth,Pharmaceuticals,Defend the Great Apes
0f1259e0-a18f-46b6-b535-106e122c9a56,30-49,Male,David Robinson,david.robinson206@yahoo.com,France,Monthly,63.5,2023-12-02,Credit Card,True,Online advertising,Logistics,Marine Mammal Defense Mission
7c441fe7-ab42-40a7-874a-493b3ceddf2d,50-65,Female,Shannon Jones,shannon.jones433@outlook.com,Finland,One-time,91.99,2023-11-21,Paypal,True,Social Media,Law,Rescue Orphaned Gorillas
7914c120-c8dc-419f-be35-11287900f7f9,30-49,Male,Timothy Duncan,timothy.duncan556@charitymail.org,UK,One-time,46.82,2025-01-28,Cheque,False,Website,Arts & Culture,Rescue Orphaned Gorillas
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,18-29,Male,Brent Jordan,brent.jordan590@yahoo.com,UK,One-time,5.55,2024-12-01,Cheque,True,Newsletter,Consulting,Defend the Great Apes
ccf3a171-56dc-4907-ba6c-34ab6712303a,50-65,Male,William Garcia,william.garcia866@yahoo.com,New Zealand,One-time,143.57,2025-03-08,Bank Transfer,True,Social Media,Hospitality,Reforest the Sanctuary
766ecb15-474e-4c19-aef9-12766c006f61,30-49,Female,Cheryl West,cheryl.west943@charitymail.org,Australia,One-time,6.61,2023-12-17,Bank Transfer,False,Word of mouth,Energy,Marine Mammal Defense Mission
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,50-65,Female,Jessica Callahan,jessica.callahan954@yahoo.com,USA,Monthly,134.43,2025-06-17,Paypal,False,Online advertising,Consulting,Rescue Orphaned Gorillas
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,66-80,Female,Tracy House,tracy.house628@charitymail.org,France,One-time,40.45,2024-06-07,Bank Transfer,False,Word of mouth,Nonprofit,Jungle Education Project
63f2ae24-fc3d-4348-808d-4127610461e3,30-49,Female,Jennifer Brown,jennifer.brown220@yahoo.com,Australia,One-time,2.41,2023-12-28,Cheque,False,Newsletter,Logistics,Reforest the Sanctuary
c88a618e-fed4-457d-bb02-6576f512c4c3,30-49,Female,Jordan Henderson,jordan.henderson120@outlook.com,Finland,One-time,10.6,2024-07-28,Paypal,True,Word of mouth,Nonprofit,Habitat for Hope
bc594585-9445-48c0-8ef8-c2d6f7fd5646,66-80,Male,Christopher Phillips,christopher.phillips863@outlook.com,India,One-time,43.26,2024-07-18,Credit Card,False,Website,Hospitality,Rescue Orphaned Gorillas
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,50-65,Female,Amy Silva,amy.silva721@outlook.com,Australia,Monthly,10.04,2023-10-11,Credit Card,True,Newsletter,Government,Wildlife Rescue Van Drive
675dd5af-3c36-4296-9ca0-2eecacdabacc,50-65,Female,Mrs. Charlene Larson,mrs..larson453@outlook.com,France,Monthly,115.01,2023-09-13,Credit Card,False,Website,Healthcare,Jungle Education Project
a8499b92-6b52-42e3-94fc-dd549e8fc965,66-80,Female,Danielle Wheeler,danielle.wheeler62@yahoo.com,France,One-time,9.15,2024-08-17,Paypal,True,Social Media,Law,Habitat for Hope
43ff5011-3d1a-45dd-906e-5a9ab758588d,30-49,Female,Taylor Harris,taylor.harris357@yahoo.com,Germany,One-time,38.15,2024-04-02,Paypal,False,Local event,Pharmaceuticals,Wildlife Rescue Van Drive
02627f73-1292-4f83-af8c-485bc07a30f2,50-65,Male,Elijah Stewart,elijah.stewart225@charitymail.org,USA,One-time,24.13,2024-05-18,Cheque,True,Online advertising,Science & Research,Defend the Great Apes
119c4ea3-e180-4081-9958-a499eeea163e,50-65,Male,Dr. Benjamin Lewis III,dr..iii439@outlook.com,Netherlands,Monthly,35.08,2025-03-21,Paypal,False,Local event,Finance/Banking,Marine Mammal Defense Mission
fbddcf7c-9c96-49ec-8d71-c366b41b3143,66-80,Male,Christopher Bass,christopher.bass683@outlook.com,Netherlands,One-time,78.05,2025-06-08,Paypal,False,Newsletter,Healthcare,Rescue Orphaned Gorillas
1a84a51a-a9d3-47c7-ae87-905e4ca415ea,50-65,Male,Adam Montoya,adam.montoya11@gmail.com,Australia,One-time,3.67,2025-05-04,Bank Transfer,True,Local event,Others,Jungle Education Project
48212ddb-45b8-4cd9-a7cb-6f2a8da01097,30-49,Other,Brian Rodriguez,brian.rodriguez419@charitymail.org,Netherlands,One-time,9.51,2024-09-02,Cheque,False,Online advertising,Retail,Rescue Orphaned Gorillas
40497b71-7d10-4c60-8162-7cf1439472e6,50-65,Male,Dalton Walters,dalton.walters740@charitymail.org,Canada,One-time,47.23,2025-04-09,Cheque,False,Local event,Hospitality,Marine Mammal Defense Mission
5563f616-00e8-4ece-8b49-452d46d483f3,30-49,Female,Anna Henderson,anna.henderson163@gmail.com,USA,One-time,23.54,2025-01-01,Cheque,True,Local event,Finance/Banking,Wildlife Rescue Van Drive
8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,18-29,Female,Deborah Figueroa,deborah.figueroa824@hotmail.com,Germany,One-time,4.78,2023-06-25,Bank Transfer,False,Newsletter,Government,Marine Mammal Defense Mission
5e84f058-d5a8-44eb-8939-23de8babce3b,66-80,Male,Stephen Mckee,stephen.mckee336@outlook.com,Canada,One-time,36.78,2024-08-16,Credit Card,False,Local event,Science & Research,Wildlife Rescue Van Drive
f8e1daa7-cbce-4bde-aede-db07e623a689,50-65,Female,Bethany Parker,bethany.parker786@charitymail.org,Australia,One-time,9.04,2025-03-08,Bank Transfer,False,Word of mouth,Healthcare,Wildlife Rescue Van Drive
8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3,18-29,Male,Daniel Wright,daniel.wright153@charitymail.org,UK,Monthly,16.97,2025-03-25,Paypal,True,Social Media,Construction,Marine Mammal Defense Mission
2999b735-dd56-4c94-bc9a-d14cee0caeb5,50-65,Female,Lisa Moore,lisa.moore374@hotmail.com,Netherlands,Monthly,237.83,2025-05-31,Bank Transfer,False,Online advertising,Others,Habitat for Hope
c84a7b28-550a-4b46-acab-3301bc8f7d29,30-49,Female,Sierra Johnson,sierra.johnson695@charitymail.org,UK,Monthly,95.8,2025-04-28,Bank Transfer,False,Online advertising,Law,Jungle Education Project
b386f7a4-c991-403f-a8c1-3091444d610b,30-49,Male,Sean Cochran,sean.cochran724@charitymail.org,USA,Monthly,125.56,2023-09-05,Cheque,True,Newsletter,Others,Rescue Orphaned Gorillas
598336e3-75d6-4ed4-ab1f-a9f2d10bd1d0,30-49,Male,Scott Walker,scott.walker384@gmail.com,UK,One-time,3.77,2024-01-27,Cheque,False,Word of mouth,Others,Jungle Education Project
475287aa-5408-49ac-a601-ddd03170f437,30-49,Female,Crystal Johnson,crystal.johnson151@charitymail.org,Australia,Monthly,21.39,2025-03-10,Bank Transfer,False,Word of mouth,Law,Habitat for Hope
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,50-65,Male,Mr. Martin Ross,mr..ross722@outlook.com,Canada,One-time,26.51,2025-05-04,Cheque,True,Website,Energy,Defend the Great Apes
09cb3942-43f5-4a85-bbc9-f87af668a617,18-29,Male,Wesley White,wesley.white967@yahoo.com,USA,Monthly,6.0,2023-09-05,Bank Transfer,True,Social Media,Real Estate,Habitat for Hope
1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,30-49,Male,Nicholas Edwards,nicholas.edwards299@charitymail.org,Germany,One-time,42.26,2024-03-25,Paypal,True,Online advertising,Nonprofit,Defend the Great Apes
ce777f00-ecf2-4e76-8519-7ff4006ed6e3,50-65,Male,David Fletcher,david.fletcher667@hotmail.com,New Zealand,Monthly,15.19,2024-07-15,Bank Transfer,True,Website,Media & Communication,Rescue Orphaned Gorillas
f2e9702d-11e9-4daa-ae69-81a35d3d9e56,30-49,Other,Natalie Lambert,natalie.lambert480@charitymail.org,South Africa,One-time,18.88,2024-10-15,Paypal,True,Online advertising,Energy,Wildlife Rescue Van Drive
81d2c7de-4ce1-4b90-a669-7833b841d0a0,66-80,Male,Erik Charles,erik.charles612@outlook.com,Finland,Monthly,42.37,2024-01-30,Bank Transfer,True,Social Media,Science & Research,Jungle Education Project
aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,66-80,Male,James Phillips,james.phillips708@gmail.com,France,One-time,5.7,2025-05-05,Paypal,False,Website,Technology,Wildlife Rescue Van Drive
d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,30-49,Male,Steven Gilbert,steven.gilbert770@outlook.com,USA,Monthly,111.72,2023-06-18,Bank Transfer,True,Local event,Construction,Jungle Education Project
7118e364-7709-4749-927e-ecfaa79ac9aa,30-49,Male,Jeffrey Carpenter,jeffrey.carpenter777@yahoo.com,USA,One-time,59.75,2024-05-06,Paypal,True,Website,Hospitality,Defend the Great Apes
a8aa7158-2b70-4525-bc67-f831cbc84759,50-65,Male,John Santana,john.santana608@yahoo.com,USA,One-time,89.13,2023-08-18,Credit Card,False,Word of mouth,Pharmaceuticals,Wildlife Rescue Van Drive
3c20592f-c04a-46c4-b3b6-3fe1d1843324,30-49,Female,Mackenzie Rogers,mackenzie.rogers611@outlook.com,UK,One-time,12.36,2024-10-21,Bank Transfer,True,Website,Hospitality,Wildlife Rescue Van Drive
9c7c7377-79a2-4903-bbe3-3b243eae0032,30-49,Male,Curtis Johnson,curtis.johnson917@hotmail.com,Brazil,One-time,14.86,2025-02-28,Credit Card,False,Local event,Technology,Reforest the Sanctuary
624c69b6-b244-45a7-b7e5-848131c681ec,50-65,Female,Jennifer Soto,jennifer.soto439@charitymail.org,France,One-time,113.11,2024-06-13,Bank Transfer,False,Word of mouth,Others,Reforest the Sanctuary
e2add909-c521-4f2d-9c45-d539c03f3538,30-49,Male,Matthew Smith,matthew.smith294@charitymail.org,UK,One-time,27.8,2023-09-03,Paypal,True,Newsletter,Logistics,Defend the Great Apes
8eb22579-0cdb-4ca4-b6ec-bdd68498e113,50-65,Male,Christopher Rubio,christopher.rubio281@outlook.com,Canada,One-time,15.87,2023-12-17,Paypal,False,Website,Real Estate,Defend the Great Apes
8f15ba58-fce6-4504-87f8-424daae65fc1,50-65,Female,Joyce Solis,joyce.solis181@hotmail.com,UK,One-time,16.79,2024-08-26,Cheque,True,Newsletter,Consulting,Marine Mammal Defense Mission
6d3ee1dc-8139-4443-a45b-712eb8225688,30-49,Other,Stephanie Salazar,stephanie.salazar823@outlook.com,India,Monthly,115.31,2025-02-14,Credit Card,False,Social Media,Environment,Marine Mammal Defense Mission
c074718e-425a-409f-b337-c59979844388,50-65,Female,Stephanie Manning,stephanie.manning141@yahoo.com,New Zealand,One-time,33.38,2023-12-15,Credit Card,False,Local event,Agriculture,Wildlife Rescue Van Drive
709b7d97-464c-44af-bd3f-3799a07295e9,30-49,Male,Ralph Boyd,ralph.boyd630@charitymail.org,France,One-time,13.74,2023-08-13,Bank Transfer,True,Newsletter,Science & Research,Habitat for Hope
269cd696-236c-4b87-94a0-bccb8a476a87,18-29,Female,Denise Flores,denise.flores333@hotmail.com,USA,One-time,12.19,2023-12-04,Paypal,True,Online advertising,Nonprofit,Habitat for Hope
7746d0ba-8ae8-405b-94b4-a48268586eba,50-65,Male,Michael Brown,michael.brown555@gmail.com,USA,Monthly,232.42,2024-04-16,Credit Card,True,Social Media,Government,Wildlife Rescue Van Drive
05000bc6-b20d-4b6e-b231-1f1795863a76,18-29,Female,Jennifer Stein,jennifer.stein454@hotmail.com,Canada,Monthly,39.68,2025-03-05,Bank Transfer,True,Online advertising,Science & Research,Marine Mammal Defense Mission
63d62a39-c0e3-4efd-8c71-e0fe5a0cdd7c,30-49,Male,James Smith,james.smith457@hotmail.com,France,One-time,30.5,2025-03-02,Paypal,True,Online advertising,Real Estate,Rescue Orphaned Gorillas
e5d6f6e6-9a6e-42f5-8cc4-29038bcf53a1,50-65,Other,Jennifer Adkins,jennifer.adkins301@yahoo.com,New Zealand,Monthly,98.04,2023-11-26,Paypal,True,Social Media,Nonprofit,Jungle Education Project
cc530e36-addc-4e13-ab3b-4d37560c95ee,30-49,Male,Jeffrey Johnson,jeffrey.johnson999@yahoo.com,USA,Monthly,192.23,2024-04-08,Credit Card,True,Word of mouth,Government,Reforest the Sanctuary
e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,50-65,Male,John Anderson,john.anderson995@hotmail.com,Finland,One-time,73.26,2024-04-01,Credit Card,True,Word of mouth,Technology,Reforest the Sanctuary
2e85cb21-7631-4e9d-9de9-f86322bd3388,18-29,Female,Alyssa Day,alyssa.day642@gmail.com,Australia,One-time,234.63,2023-07-24,Bank Transfer,True,Word of mouth,Finance/Banking,Reforest the Sanctuary
473bd358-610e-4a64-a130-1617c2dff335,18-29,Female,Christine Murphy,christine.murphy556@charitymail.org,France,One-time,29.89,2024-12-18,Paypal,False,Local event,Energy,Wildlife Rescue Van Drive
0d557b61-8a17-4dfe-bfc0-0dc804f64d86,30-49,Male,David Miller,david.miller406@yahoo.com,Brazil,Monthly,20.63,2025-06-17,Credit Card,False,Newsletter,Government,Wildlife Rescue Van Drive
07f194f9-c115-4d6d-8a4e-5b70a6d964a3,30-49,Male,Matthew Harrington,matthew.harrington158@charitymail.org,Germany,One-time,89.92,2025-05-12,Paypal,True,Online advertising,Technology,Reforest the Sanctuary
1d48a071-ab61-47b1-b93b-4c3220500494,18-29,Other,Alex Hernandez,alex.hernandez106@charitymail.org,India,Monthly,43.89,2024-08-03,Credit Card,False,Newsletter,Education,Marine Mammal Defense Mission
f6b751f7-9b74-4245-9b1b-c8952af43ab7,30-49,Female,Melissa Wang,melissa.wang953@gmail.com,New Zealand,One-time,8.33,2024-12-15,Cheque,False,Website,Logistics,Jungle Education Project
edcb8cb6-0692-4c63-9424-aed51bac5c15,50-65,Male,Robert Oconnell,robert.oconnell785@outlook.com,Australia,One-time,2.69,2024-02-01,Paypal,False,Newsletter,Others,Defend the Great Apes
9793b9b4-1374-4146-b2c5-bd89b70b3420,50-65,Male,Tyler Sanders,tyler.sanders700@outlook.com,Finland,One-time,42.06,2024-11-03,Cheque,True,Local event,Media & Communication,Defend the Great Apes
ce3714af-99b4-4350-af2b-99b4d9acd158,30-49,Male,Brian Barton,brian.barton878@yahoo.com,New Zealand,One-time,29.14,2023-09-14,Bank Transfer,True,Word of mouth,Science & Research,Defend the Great Apes
a5c5650c-8186-4576-91a7-26095eddbbbf,18-29,Male,Richard Reed MD,richard.md606@gmail.com,Germany,Monthly,4.15,2024-02-22,Cheque,False,Social Media,Consulting,Rescue Orphaned Gorillas
e43e4288-a2b5-4498-9cb8-5aedf5f62c97,50-65,Male,Rodney Garcia,rodney.garcia860@hotmail.com,UK,One-time,21.33,2025-02-12,Credit Card,True,Website,Healthcare,Rescue Orphaned Gorillas
9dac6e83-4524-4ea6-a684-6099f7294951,18-29,Female,Jessica Gross,jessica.gross33@outlook.com,Netherlands,One-time,51.56,2025-01-28,Credit Card,False,Social Media,Education,Defend the Great Apes
52828d80-44b5-41f7-97ac-6aa8bb2488a3,50-65,Female,Karen Graham,karen.graham174@charitymail.org,UK,One-time,24.81,2025-03-01,Cheque,False,Online advertising,Others,Rescue Orphaned Gorillas
91e1aa96-76f7-4255-801f-36bf3e6dd58b,66-80,Female,Angelica Keith,angelica.keith514@yahoo.com,Canada,Monthly,108.09,2024-09-06,Credit Card,False,Social Media,Government,Jungle Education Project
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,50-65,Male,Allen Rosales,allen.rosales386@hotmail.com,Canada,Monthly,22.43,2025-01-21,Credit Card,False,Word of mouth,Energy,Wildlife Rescue Van Drive
8441aefd-0299-436a-8e48-522346b98991,50-65,Male,Spencer Haynes,spencer.haynes645@gmail.com,UK,One-time,8.15,2025-05-11,Bank Transfer,False,Newsletter,Law,Marine Mammal Defense Mission
79e13cea-b0cb-461f-bd85-de89c2171429,18-29,Female,Michelle Freeman,michelle.freeman631@charitymail.org,France,One-time,17.86,2024-10-02,Bank Transfer,True,Word of mouth,Real Estate,Jungle Education Project
3e493f43-b118-468d-a786-d50638ba8abc,50-65,Female,Rebecca Davis,rebecca.davis251@yahoo.com,India,One-time,4.12,2024-01-27,Paypal,False,Social Media,Arts & Culture,Rescue Orphaned Gorillas
8ce6424d-bef5-4fe6-bf23-3d5f6cedd15d,30-49,Female,Kara Schmidt,kara.schmidt844@gmail.com,New Zealand,One-time,2.44,2024-02-14,Credit Card,False,Social Media,Nonprofit,Defend the Great Apes
50c7c006-314d-4441-b8a6-171f1ee34dc4,66-80,Other,Denise King,denise.king732@outlook.com,France,One-time,12.76,2023-09-13,Cheque,False,Local event,Law,Marine Mammal Defense Mission
46c8adfe-7bf4-4042-bd15-31c83764fbda,50-65,Female,Pamela Lopez,pamela.lopez813@yahoo.com,South Africa,One-time,15.5,2024-11-28,Bank Transfer,True,Local event,Arts & Culture,Defend the Great Apes
5c62b3a2-3a3c-463e-8bd6-cee631b1b099,30-49,Female,Kelly Campbell MD,kelly.md609@yahoo.com,France,One-time,13.82,2023-10-27,Paypal,False,Local event,Real Estate,Wildlife Rescue Van Drive
4ac9778d-8da8-4ee4-8df5-6ac6f96b648a,50-65,Male,Joseph Hill,joseph.hill928@charitymail.org,USA,One-time,24.25,2024-11-08,Bank Transfer,True,Website,Education,Jungle Education Project
48ca7651-92f5-4f7b-8323-d342df6a8f93,50-65,Female,Sheena Henry,sheena.henry370@gmail.com,Finland,One-time,6.2,2024-05-26,Bank Transfer,False,Newsletter,Agriculture,Reforest the Sanctuary
1d34d08e-7a4c-45d4-9c99-e04cf0e98b3b,30-49,Female,Cathy Williams,cathy.williams637@outlook.com,Brazil,One-time,3.42,2025-02-07,Credit Card,True,Newsletter,Law,Wildlife Rescue Van Drive
cfa701cd-2631-400b-a6d7-94d30db95301,18-29,Male,Benjamin Soto,benjamin.soto303@yahoo.com,USA,Monthly,64.16,2024-08-02,Credit Card,True,Newsletter,Real Estate,Habitat for Hope
989bc4da-9b37-422b-aa8a-616fc3b290d0,30-49,Male,Xavier Wilson,xavier.wilson556@gmail.com,Netherlands,One-time,40.3,2025-01-16,Bank Transfer,False,Social Media,Science & Research,Jungle Education Project
96a9954f-dc33-41f9-8c1f-55ab715629ee,18-29,Male,Joseph Hayes,joseph.hayes353@charitymail.org,India,One-time,11.02,2025-06-10,Bank Transfer,True,Word of mouth,Others,Defend the Great Apes
c342bd2b-f295-456e-9967-5f06bd767e35,50-65,Female,Lisa Lynch,lisa.lynch509@charitymail.org,Australia,One-time,34.73,2023-11-16,Bank Transfer,True,Website,Others,Jungle Education Project
2812859a-1337-439e-8d4f-5d272c7f0b79,66-80,Female,Mary Moore,mary.moore412@yahoo.com,Germany,Monthly,143.32,2023-06-19,Credit Card,True,Word of mouth,Education,Reforest the Sanctuary
48603b32-b4fb-4eb9-89c1-3de73b4206c5,30-49,Male,Kirk Carter,kirk.carter964@charitymail.org,India,One-time,20.15,2024-11-12,Credit Card,False,Word of mouth,Healthcare,Habitat for Hope
96fc734d-a003-4d28-8a8f-3653c9af18f8,50-65,Male,Michael Bradshaw,michael.bradshaw365@charitymail.org,Australia,One-time,148.13,2024-10-13,Credit Card,True,Local event,Media & Communication,Wildlife Rescue Van Drive
44007d5a-e88d-4719-a624-2b40a5cb63a2,50-65,Male,Jeffery Stephens,jeffery.stephens614@charitymail.org,Canada,Monthly,108.22,2025-02-11,Bank Transfer,True,Newsletter,Retail,Jungle Education Project
ebd34616-91b7-4d8e-9301-6989bfbbb17f,30-49,Other,Christopher Parker,christopher.parker941@yahoo.com,UK,One-time,77.88,2024-01-14,Credit Card,False,Social Media,Real Estate,Marine Mammal Defense Mission
8a3c3b5e-801e-41da-85b1-ed25f1533ae8,66-80,Female,Melissa Lyons,melissa.lyons123@hotmail.com,Germany,Monthly,138.83,2024-06-12,Credit Card,False,Online advertising,Technology,Reforest the Sanctuary
069f14f1-4018-4c6e-9a8c-fa3c5283aac7,50-65,Male,Andrew Reynolds,andrew.reynolds924@gmail.com,Canada,One-time,5.72,2023-08-23,Cheque,False,Website,Environment,Jungle Education Project
d248a9a7-ac1a-4554-83c7-5611ffe3fa49,50-65,Female,Dr. Laura Sampson,dr..sampson248@hotmail.com,USA,Monthly,60.58,2024-01-01,Cheque,True,Social Media,Education,Marine Mammal Defense Mission
473544f9-ea83-4f00-b135-f221a6c9537f,50-65,Female,Nicole Ruiz,nicole.ruiz99@yahoo.com,Netherlands,Monthly,166.26,2023-10-28,Credit Card,False,Online advertising,Education,Reforest the Sanctuary
6889803e-5913-49d3-b852-99f4175ba98d,18-29,Male,Mark Vasquez,mark.vasquez219@charitymail.org,Canada,One-time,4.98,2024-02-16,Cheque,False,Website,Education,Defend the Great Apes
a99f1318-49c8-443f-bed7-0ed7b194990b,50-65,Male,Scott Rivera,scott.rivera759@yahoo.com,France,Monthly,146.71,2025-05-08,Cheque,False,Website,Finance/Banking,Wildlife Rescue Van Drive
1dad09b2-52c2-4221-809d-360250843242,30-49,Male,Joshua Gibson,joshua.gibson955@yahoo.com,Brazil,One-time,14.88,2025-05-27,Bank Transfer,False,Local event,Education,Marine Mammal Defense Mission
764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,30-49,Male,Jose Travis,jose.travis552@yahoo.com,UK,Monthly,196.43,2024-04-15,Credit Card,True,Online advertising,Law,Rescue Orphaned Gorillas
0d366dfc-c28e-4d70-b129-9889a01ac992,66-80,Male,Isaiah Avila,isaiah.avila183@charitymail.org,India,One-time,15.77,2023-11-13,Cheque,True,Newsletter,Consulting,Wildlife Rescue Van Drive
0763fcd0-1f15-47b6-bc16-128db2c08394,30-49,Male,Timothy Kim,timothy.kim670@hotmail.com,New Zealand,Monthly,146.21,2025-05-29,Cheque,True,Online advertising,Education,Marine Mammal Defense Mission
687213f9-8d60-4936-8380-2b708d03c91e,30-49,Male,David Moore,david.moore648@gmail.com,Brazil,One-time,12.63,2023-08-25,Paypal,True,Online advertising,Logistics,Defend the Great Apes
eec259dc-7f95-497c-a76a-a6ced50755d9,66-80,Male,Thomas Murray Jr.,thomas.jr.684@hotmail.com,UK,One-time,34.35,2024-11-22,Credit Card,False,Website,Others,Reforest the Sanctuary
